psl_entry,top_level_domain,dns_status,whois_status,whois_domain_expiry_date,whois_domain_status
community-pro.de,community-pro.de,ok,ok,,"""connect"""
is-a-republican.com,is-a-republican.com,ok,ok,2025-01-03 17:28:17,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)"", ""clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)"", ""clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)""]"
from-pa.com,from-pa.com,ok,ok,2025-01-03 17:22:55,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited""]"
nimsite.uk,nimsite.uk,ok,ok,2027-01-19 00:00:00,"""Registered until expiry date."""
sagemaker.aws,sagemaker.aws,ok,ok,2027-11-15 23:31:12,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientDeleteProhibited https://www.icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://www.icann.org/epp#clientUpdateProhibited""]"
uy.com,uy.com,ok,ok,2030-10-26 17:03:26,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientRenewProhibited https://icann.org/epp#clientRenewProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited""]"
bitbucket.io,bitbucket.io,ok,ok,2025-03-07 00:35:19,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)"", ""clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)"", ""clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)""]"
paba.se,paba.se,ok,ok,2025-04-28 00:00:00,"""ok"""
kikirara.jp,kikirara.jp,ok,ok,2024-09-30 00:00:00,"""Active"""
feedback.ac,feedback.ac,ok,ok,2026-07-30 14:21:43,"""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"""
mydobiss.com,mydobiss.com,ok,ok,2025-06-14 10:39:13,"[""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited http:://icann.org/epp#clientTransferProhibited""]"
opensocial.site,opensocial.site,ok,ok,2025-06-23 23:59:59,"[""ok https://icann.org/epp#ok"", ""autoRenewPeriod https://icann.org/epp#autoRenewPeriod""]"
dynamic-dns.info,dynamic-dns.info,ok,ok,2024-07-02 11:39:35,"""ok https://icann.org/epp#ok"""
dyndns-blog.com,dyndns-blog.com,ok,ok,2025-05-16 18:40:39,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)"", ""clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)"", ""clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)""]"
heteml.net,heteml.net,ok,ok,2024-09-08 09:32:20,"[""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited""]"
blogspot.com.by,blogspot.com.by,ok,ok,2025-04-20 00:00:00,null
sopot.pl,sopot.pl,ok,ok,2030-12-31 13:00:00,null
blogspot.bg,blogspot.bg,ok,ok,,"""busy, active"""
12hp.de,12hp.de,ok,ok,,"""connect"""
servegame.com,servegame.com,ok,ok,2026-06-09 23:15:10,"[""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited""]"
dyndns-home.com,dyndns-home.com,ok,ok,2025-05-16 18:22:58,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)"", ""clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)"", ""clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)""]"
is-a-geek.com,is-a-geek.com,ok,ok,2025-07-30 20:53:14,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited""]"
cloudns.org,cloudns.org,ok,ok,2025-02-22 14:13:42,"""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"""
flutterflow.app,flutterflow.app,ok,ok,2026-05-13 22:41:41,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited"", ""clientDeleteProhibited http://www.icann.org/epp#clientDeleteProhibited""]"
goip.de,goip.de,ok,ok,,"""connect"""
nh-serv.co.uk,nh-serv.co.uk,ok,ok,2027-06-02 00:00:00,"""Registered until expiry date."""
kicks-ass.org,kicks-ass.org,ok,ok,2024-12-04 02:52:32,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited""]"
freebox-os.fr,freebox-os.fr,ok,ok,2024-10-09 22:07:28,"[""ACTIVE"", ""clientTransferProhibited"", ""clientDeleteProhibited"", ""associated"", ""active"", ""not identified""]"
azurewebsites.net,azurewebsites.net,ok,ok,2025-01-24 18:43:51,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited"", ""serverTransferProhibited https://icann.org/epp#serverTransferProhibited"", ""serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited"", ""clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)"", ""clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)"", ""clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)"", ""serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited)"", ""serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited)"", ""serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited)""]"
cloudns.cc,cloudns.cc,ok,ok,2025-06-02 07:57:03,"""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"""
troitsk.su,troitsk.su,ok,ok,2024-10-01 00:00:00,"""REGISTERED, DELEGATED"""
krasnodar.su,krasnodar.su,ok,ok,2024-10-01 00:00:00,"""REGISTERED, DELEGATED"""
meteorapp.com,meteorapp.com,ok,ok,2025-01-09 04:37:58,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited""]"
cloudapps.digital,cloudapps.digital,ok,ok,2025-02-24 13:49:47,"[""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited""]"
xn--j1ael8b.xn--p1acf,xn--j1ael8b.xn--p1acf,ok,ok,,null
simplesite.com,simplesite.com,ok,ok,2031-12-29 05:00:00,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited""]"
protonet.io,protonet.io,ok,ok,2024-08-05 16:24:45,"""ok https://icann.org/epp#ok"""
mt.leg.br,mt.leg.br,ok,ok,,"[""20240627 DSOK"", ""published""]"
test.ru,test.ru,NXDOMAIN,ok,2024-12-15 00:00:00,"""REGISTERED, NOT DELEGATED"""
is-a-therapist.com,is-a-therapist.com,ok,ok,2025-01-03 18:15:36,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)"", ""clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)"", ""clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)""]"
hypernode.io,hypernode.io,ok,ok,2027-02-11 21:20:52,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited""]"
tabitorder.co.il,tabitorder.co.il,ok,ok,2027-06-08 00:00:00,"""Transfer Locked"""
blogdns.net,blogdns.net,ok,ok,2024-08-09 17:54:19,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)"", ""clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)"", ""clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)""]"
cloudflare.net,cloudflare.net,ok,ok,2033-02-17 22:08:05,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited"", ""serverTransferProhibited https://icann.org/epp#serverTransferProhibited"", ""serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited"", ""clientdeleteprohibited https://icann.org/epp#clientdeleteprohibited"", ""clienttransferprohibited https://icann.org/epp#clienttransferprohibited"", ""serverdeleteprohibited https://icann.org/epp#serverdeleteprohibited"", ""servertransferprohibited https://icann.org/epp#servertransferprohibited"", ""serverupdateprohibited https://icann.org/epp#serverupdateprohibited"", ""clientupdateprohibited https://icann.org/epp#clientupdateprohibited""]"
funkfeuer.at,funkfeuer.at,ok,ok,,null
oops.jp,oops.jp,ok,ok,2024-07-31 00:00:00,"""Active"""
jeez.jp,jeez.jp,ok,ok,2024-07-31 00:00:00,"""Active"""
myeffect.net,myeffect.net,ok,ok,2025-08-13 21:10:52,"[""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited""]"
stackit.run,stackit.run,ok,ok,2027-04-26 12:09:03,"[""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited - http://www.icann.org/epp#clientTransferProhibited""]"
hacca.jp,hacca.jp,ok,ok,2024-09-30 00:00:00,"""Active"""
meinforum.net,meinforum.net,ok,ok,2029-01-24 22:59:06,"""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"""
unispace.io,unispace.io,ok,ok,2024-08-09 08:21:40,"""ok https://icann.org/epp#ok"""
ddnslive.com,ddnslive.com,ok,ok,2025-06-05 18:25:13,"""ok https://icann.org/epp#ok"""
x443.pw,x443.pw,ok,ok,2024-09-26 23:59:59,"""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"""
blogspot.mr,blogspot.mr,NXDOMAIN,ok,,"""No Object Found"""
vaporcloud.io,vaporcloud.io,ok,ok,2025-01-12 12:18:49,"[""ok https://icann.org/epp#ok"", ""ok http://www.icann.org/epp#ok""]"
zap.cloud,zap.cloud,ok,ok,2029-11-29 14:34:34.892000,"""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"""
