psl_entry,top_level_domain,dns_status,whois_status,whois_domain_expiry_date,whois_domain_status,psl_txt_status,expiry_check_status
001www.com,001www.com,NXDOMAIN,ok,2025-10-08 18:59:52.000,"[""clientHold https://icann.org/epp#clientHold"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited""]",valid,FAIL_2Y
0am.jp,0am.jp,ok,ok,2025-06-30 00:00:00.000,"[""Active""]",invalid,FAIL_2Y
0e.vc,0e.vc,ok,ok,2024-12-30 12:25:13.000,"""clientTransferProhibited https://icann.org/epp#clientTransferProhibited""",invalid,FAIL_2Y
0emm.com,0emm.com,ok,ok,2025-05-04 23:13:42.000,"[""clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)"", ""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited""]",valid,FAIL_2Y
0g0.jp,0g0.jp,ok,ok,2025-05-31 00:00:00.000,"[""Active""]",invalid,FAIL_2Y
0j0.jp,0j0.jp,ok,ok,2025-06-30 00:00:00.000,"[""Active""]",valid,FAIL_2Y
0t0.jp,0t0.jp,ok,ok,2025-06-30 00:00:00.000,"[""Active""]",invalid,FAIL_2Y
123hjemmeside.dk,123hjemmeside.dk,ok,ok,2026-07-31 00:00:00.000,"[""Active""]",invalid,FAIL_2Y
123hjemmeside.no,123hjemmeside.no,ok,ok,,[],valid,FAIL_2Y
123homepage.it,123homepage.it,ok,ok,2024-12-21 00:00:00.000,"[""ok""]",invalid,FAIL_2Y
123kotisivu.fi,123kotisivu.fi,ok,ok,2024-12-23 09:59:26.000,"[""Registered""]",valid,FAIL_2Y
123minsida.se,123minsida.se,ok,ok,2025-08-03 00:00:00.000,"[""ok""]",valid,FAIL_2Y
123miweb.es,123miweb.es,ok,ok,,null,valid,FAIL_2Y
123paginaweb.pt,123paginaweb.pt,ok,ok,,null,valid,FAIL_2Y
123siteweb.fr,123siteweb.fr,ok,ok,2025-01-12 09:24:13.000,"[""ACTIVE"", ""active"", ""associated"", ""not identified"", ""ok""]",valid,FAIL_2Y
123webseite.at,123webseite.at,ok,ok,,[],invalid,FAIL_2Y
123webseite.de,123webseite.de,ok,ok,,"[""connect""]",invalid,FAIL_2Y
123website.be,123website.be,ok,ok,,"""NOT AVAILABLE""",valid,FAIL_2Y
123website.ch,123website.ch,ok,ok,,null,valid,FAIL_2Y
123website.lu,123website.lu,ok,ok,,"[""ACTIVE""]",valid,FAIL_2Y
123website.nl,123website.nl,ok,ok,,"[""active""]",valid,FAIL_2Y
12chars.dev,12chars.dev,ok,ok,2026-05-21 15:58:02.000,"[""clientTransferProhibited https://icann.org/epp#clientTransferProhibited""]",valid,FAIL_2Y
12chars.it,12chars.it,ok,ok,2025-05-21 00:00:00.000,"[""ok""]",valid,FAIL_2Y
12chars.pro,12chars.pro,ok,ok,2026-05-21 15:58:02.000,"[""clientTransferProhibited https://icann.org/epp#clientTransferProhibited""]",invalid,FAIL_2Y
12hp.at,12hp.at,ok,ok,,[],invalid,FAIL_2Y
12hp.ch,12hp.ch,ok,ok,,null,valid,FAIL_2Y
12hp.de,12hp.de,ok,ok,,"[""connect""]",valid,FAIL_2Y
1337.pictures,1337.pictures,ok,ok,2025-03-09 07:45:34.000,"[""ok https://icann.org/epp#ok""]",valid,FAIL_2Y
16-b.it,16-b.it,ok,ok,2025-08-05 00:00:00.000,"[""ok""]",valid,FAIL_2Y
180r.com,180r.com,ok,ok,2025-09-28 07:16:10.000,"[""clientDeleteProhibited  https://icann.org/epp#clientDeleteProhibited"", ""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited  https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited  https://icann.org/epp#clientUpdateProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited""]",invalid,FAIL_2Y
1kapp.com,1kapp.com,ok,ok,2025-12-27 07:08:31.000,"[""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientUpdateProhibited https://www.icann.org/epp#clientUpdateProhibited""]",valid,FAIL_2Y
2-d.jp,2-d.jp,ok,ok,2025-06-30 00:00:00.000,"[""Active""]",valid,FAIL_2Y
2038.io,2038.io,ok,ok,2024-11-14 16:59:45.000,"[""clientTransferProhibited https://icann.org/epp#clientTransferProhibited""]",invalid,FAIL_2Y
2ix.at,2ix.at,ok,ok,,[],invalid,FAIL_2Y
2ix.ch,2ix.ch,ok,ok,,null,invalid,FAIL_2Y
2ix.de,2ix.de,ok,ok,,"[""connect""]",valid,FAIL_2Y
32-b.it,32-b.it,ok,ok,2025-08-05 00:00:00.000,"[""ok""]",valid,FAIL_2Y
3utilities.com,3utilities.com,ok,ok,2025-12-20 17:44:28.000,"[""clientTransferProhibited https://icann.org/epp#clientTransferProhibited""]",invalid,FAIL_2Y
4lima.at,4lima.at,ok,ok,,[],valid,FAIL_2Y
4lima.ch,4lima.ch,ok,ok,,null,invalid,FAIL_2Y
4lima.de,4lima.de,ok,ok,,"[""connect""]",invalid,FAIL_2Y
611.to,611.to,ok,ok,,null,valid,FAIL_2Y
64-b.it,64-b.it,ok,ok,2025-09-17 00:00:00.000,"[""ok""]",valid,FAIL_2Y
abkhazia.su,abkhazia.su,ok,ok,2025-09-30 21:00:00.000,"[""REGISTERED, DELEGATED""]",valid,FAIL_2Y
ac.leg.br,ac.leg.br,ok,ok,,"[""20241024 DSOK"", ""published""]",valid,FAIL_2Y
ac.ru,ac.ru,ok,ok,2024-11-30 21:00:00.000,"[""REGISTERED, DELEGATED, UNVERIFIED""]",valid,FAIL_2Y
adaptable.app,adaptable.app,ok,ok,2026-05-08 16:00:34.000,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited""]",valid,FAIL_2Y
adimo.co.uk,adimo.co.uk,ok,ok,2025-11-01 00:00:00.000,"[""Registered until expiry date.""]",valid,FAIL_2Y
adobeaemcloud.com,adobeaemcloud.com,ok,ok,2025-03-28 21:18:25.000,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientDeleteProhibited https://www.icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientUpdateProhibited https://www.icann.org/epp#clientUpdateProhibited""]",valid,FAIL_2Y
adobeaemcloud.net,adobeaemcloud.net,ok,ok,2025-11-15 15:53:08.000,"[""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientUpdateProhibited https://www.icann.org/epp#clientUpdateProhibited""]",valid,FAIL_2Y
adobeio-static.net,adobeio-static.net,ok,ok,2025-10-25 15:13:19.000,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientDeleteProhibited https://www.icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientUpdateProhibited https://www.icann.org/epp#clientUpdateProhibited""]",valid,FAIL_2Y
adobeioruntime.net,adobeioruntime.net,ok,ok,2025-05-25 15:36:36.000,"[""clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited"", ""clientDeleteProhibited https://www.icann.org/epp#clientDeleteProhibited"", ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"", ""clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited"", ""clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited"", ""clientUpdateProhibited https://www.icann.org/epp#clientUpdateProhibited""]",valid,FAIL_2Y
